omega:    Tc: 
0.1    0.8159297378799424
0.10395197598799401    0.8135458338432725
0.107903951975988    0.8120888394751395
0.111855927963982    0.8115666116618364
0.11580790395197599    0.8119818957186331
0.11975987993996999    0.813332406300993
0.12371185592796399    0.8156107641724459
0.12766383191595798    0.8188042903313923
0.131615807903952    0.8228946623794345
0.135567783891946    0.8278574418719522
0.13951975987993998    0.8336614860341229
0.143471735867934    0.8402682629154172
0.14742371185592798    0.8476310959824515
0.15137568784392197    0.8556943723906434
0.15532766383191599    0.8643927586423588
0.15927963981990997    0.8736504777218902
0.16323161580790396    0.8833807124973867
0.16718359179589798    0.893485210255293
0.17113556778389194    0.9038541713685646
0.17508754377188596    0.9143665096221614
0.17903951975987994    0.9248905706861368
0.18299149574787393    0.9352853866130382
0.18694347173586795    0.9454025262333832
0.19089544772386194    0.9550885727384423
0.19484742371185593    0.9641882204618272
0.19879939969984994    0.9725479343180117
0.20275137568784393    0.9800200607829224
0.20670335167583792    0.9864672238463206
0.21065532766383194    0.9917667896925252
0.21460730365182593    0.995815147373158
0.21855927963981991    0.9985315363667843
0.22251125562781393    0.9998611607815466
0.22646323161580792    0.9997773660336986
0.2304152076038019    0.9982827151651414
0.23436718359179592    0.9954088825466265
0.2383191595797899    0.9912153732834939
0.2422711355677839    0.9857871661816491
0.24622311155577792    0.9792314558097875
0.25017508754377193    0.9716737262488819
0.2541270635317659    0.9632534202605134
0.25807903951975986    0.9541194716251837
0.2620310155077539    0.9444259479361389
0.2659829914957479    0.93432801172642
0.2699349674837419    0.9239783565803766
0.2738869434717359    0.9135242191729057
0.2778389194597299    0.9031050144167427
0.28179089544772384    0.8928505938825508
0.28574287143571786    0.8828800902935394
0.2896948474237119    0.8733012842941908
0.2936468234117059    0.8642104135086413
0.2975987993996999    0.8556923368026093
0.30155077538769387    0.8478209667705618
0.30550275137568783    0.8406598887626697
0.30945472736368185    0.834263093342541
0.31340670335167586    0.8286757593178217
0.3173586793396699    0.8239350351665469
0.3213106553276639    0.8200707769194528
0.32526263131565786    0.8171062098121266
0.3292146073036518    0.8150584890270748
0.33316658329164583    0.8139391415528704
0.33711855927963985    0.813754376698191
0.34107053526763387    0.8145052573203313
0.34502251125562783    0.8161877276355745
0.34897448724362184    0.8187924968871166
0.3529264632316158    0.8223047814886648
0.3568784392196098    0.826703911875306
0.36083041520760384    0.8319628145030552
0.36478239119559785    0.8380473845396496
0.36873436718359187    0.8449157710225161
0.3726863431715858    0.8525176037777963
0.3766383191595798    0.8607932002162368
0.3805902951475738    0.8696728000786005
0.3845422711355678    0.879075886874303
0.38849424712356184    0.8889106654074908
0.39244622311155586    0.8990737743174573
0.39639819909954976    0.9094503194991317
0.4003501750875438    0.9199143168033808
0.4043021510755378    0.9303296285253245
0.4082541270635318    0.9405514658756602
0.41220610305152583    0.9504285072673957
0.41615807903951973    0.9598056490185117
0.42011005502751375    0.9685273614313278
0.42406203101550777    0.9764415713178818
0.4280140070035018    0.9834039359688315
0.4319659829914958    0.9892823191907535
0.4359179589794898    0.9939612345152814
0.4398699349674837    0.9973459914573084
0.44382191095547774    0.9993662741939495
0.44777388694347176    0.9999789022564047
0.45172586293146577    0.9991695702077718
0.4556778389194598    0.9969534341244652
0.4596298149074538    0.9933744994424416
0.4635817908954477    0.9885038570582465
0.4675337668834417    0.9824369011851635
0.47148574287143574    0.9752897330613877
0.47543771885942976    0.9671950016594217
0.4793896948474238    0.9582974523992893
0.4833416708354178    0.9487494480011367
0.4872936468234117    0.9387066960687476
0.4912456228114057    0.9283243722271839
0.49519759879939973    0.9177537731037626
0.49914957478739375    0.9071395772954773
0.5031015507753878    0.8966177405782534
0.5070535267633818    0.886314008040108
0.5110055027513757    0.876342992697916
0.5149574787393697    0.8668077479288656
0.5189094547273637    0.8577997488758242
0.5228614307153577    0.8493991942299819
0.5268134067033517    0.841675542448769
0.5307653826913458    0.8346882035061147
0.5347173586793397    0.8284873168818419
0.5386693346673337    0.8231145572009453
0.5426213106553277    0.8186039196351015
0.5465732866433217    0.8149824471440941
0.5505252626313157    0.8122708704443976
0.5544772386193096    0.8104841390766079
0.5584292146073037    0.8096318281218234
0.5623811905952977    0.8097184101398713
0.5663331665832917    0.8107433860078901
0.5702851425712857    0.8127012718179769
0.5742371185592797    0.8155814421695308
0.5781890945472736    0.8193678333998883
0.5821410705352676    0.8240385138689433
0.5860930465232617    0.8295651326666672
0.5900450225112557    0.8359122633296271
0.5939969984992497    0.8430366655568152
0.5979489744872437    0.8508864956340896
0.6019009504752376    0.8594005052961895
0.6058529264632316    0.8685072788625983
0.6098049024512256    0.8781245692026545
0.6137568784392197    0.8881588036170084
0.6177088544272136    0.8985048399000455
0.6216608304152076    0.9090460591294911
0.6256128064032016    0.9196548832562985
0.6295647823911956    0.9301938003068446
0.6335167583791896    0.9405169660080397
0.6374687343671837    0.9504724263948746
0.6414207103551776    0.959904970843167
0.6453726863431716    0.9686595797335709
0.6493246623311656    0.9765853780906004
0.6532766383191596    0.9835399504627682
0.6572286143071536    0.9893938191628018
0.6611805902951476    0.9940348450326412
0.6651325662831415    0.9973722844661516
0.6690845422711356    0.9993402345665012
0.6730365182591296    0.999900223438029
0.6769884942471236    0.9990427544082043
0.6809404702351176    0.9967876870116572
0.6848924462231116    0.9931834257128953
0.6888444222111055    0.9883049790162712
0.6927963981990996    0.982251035609807
0.6967483741870936    0.9751402706662433
0.7007003501750876    0.9671071375395635
0.7046523261630816    0.9582974149694985
0.7086043021510756    0.9488637687180054
0.7125562781390695    0.9389615538538223
